factor,count
age,293
o2_flow__mean__last_24h,282
peep__maximum__last_24h,230
c_reactive_protein__mean__last_24h,215
troponin_t__maximum__last_24h,206
ureum__mean__last_24h,202
ureum_over_creatinine__mean__last_24h,190
creatinine__last__overall,148
alkaline_phosphatase__mean__last_24h,130
glasgow_coma_scale_total__minimum__last_24h,127
alanine_transaminase__mean__last_24h,118
sodium__mean__last_24h,116
albumin__mean__last_24h__padded,110
heart_rate__mean__last_24h__padded,105
heart_rate__mean__last_24h,104
arterial_blood_pressure_diastolic__mean__last_24h,97
respiratory_rate_measured__mean__last_24h__padded,80
activated_partial_thromboplastin_time__mean__last_24h,75
fluid_out_urine__total_value__last_24h,75
respiratory_rate_measured__last__overall,74
glasgow_coma_scale_total__maximum__last_24h,71
pco2_arterial__mean__last_24h,59
time_since_start,48
fluid_out_urine__total_dose__last_24h,46
glucose__minimum__last_24h,46
tracheobronchial_toilet_quantity__total_dose__last_24h,46
ph_arterial__last__overall,45
thrombocytes__mean__last_24h,45
leukocytes__mean__last_24h__padded,43
arterial_blood_pressure_systolic__mean__last_24h,36
creatine_kinase_mb_mass__last__overall,36
bilirubin_total__mean__last_24h,25
chloride__mean__last_24h,25
tidal_volume_per_kg__mean__last_24h__padded,23
length_of_stay_hours,22
tracheobronchial_toilet_quantity__total_value__last_24h,21
lactate_dehydrogenase__mean__last_24h,20
fio2__mean__last_24h,18
o2_saturation__mean__last_24h,18
potassium__mean__last_24h,18
richmond_agitation_sedation_scale_score__maximum__last_24h,17
hemoglobin__mean__last_24h__padded,16
base_excess__mean__last_24h,14
phosphate__mean__last_24h,14
temperature_skin__mean__last_24h,14
albumin__mean__last_24h,13
leukocytes__mean__last_24h,13
arterial_blood_pressure_mean__change_since_first__last_24h,11
hemoglobin__mean__last_24h,8
magnesium__mean__last_24h,7
gamma_glutamyl_transferase__mean__last_24h,6
body_mass_index__mean__last_24h,5
o2_saturation__change_since_first__last_24h,4
pao2_over_fio2__last__overall,4
prothrombin_time_inr__mean__last_24h__padded,4
lactate__last__overall,3
pupil_diameter_max__mean__last_24h,3
o2_flow__change_since_first__last_24h,2
aspartate_transaminase__mean__last_24h,1
cough_stimulus__mode__last_24h__cough_reflex_normal,1
prothrombin_time_inr__mean__last_24h,1
temperature__minimum__last_24h,1
