factor,count
Opname kenmerk: reden van opname,168
"Demografisch (leeftijd, geslacht, etniciteit)",116
Opname kenmerk: duur van opname of heropname,86
Comorbiditeit: Cardiaal,34
reden van opname,33
"Circulatie: bv. bloeddruk, ritme, ischemie, hartfalen, vochtbalans, vasopressie/inotropie",30
Comorbiditeit: Kwetsbaarheid,24
Comorbiditeit: Overig,23
"Respiratie: bv. ventiliatie, zuurstofbehoefte, beademingsduur",18
"Neurologie: bv. sub maximale EMV, IC verkregen zwakte, risico op verslechtering",17
Comorbiditeit: Pulmonaal,12
"Infectie: bv. infectie matig onder controle, risico op infectie, isolatiemaatregelen",11
"Nierfunctie: bv. nierinsufficientie, zuur/base- of electrolytstoornissen",11
algemene (ziekte) indruk,10
leeftijd,9
Logistiek: zorgzwaarte voor afdeling,8
(verpleegkundige) zorgzwaarte,5
Abdominaal: bv. leverinsufficientie,4
Hematologie: bv. bloedingsrisico,3
Pulmonaal belaste voorgeschiedenis,3
Sputumproductie met uitzuigbehoefte,3
delier,3
eerdere heropname,3
(recidiverende) bloedingen,2
Comorbiditeit: Maligniteit,2
Frailty,2
nierfalen (bestaand of risico verslechtering),2
oxygenatie/PaO2,2
recidiverende infecties,2
verlaagd bewustzijn/lage EMV score,2
(recente) cardiale ischemie,1
Bloeddruk,1
COVID,1
Cardiaal belaste voorgeschiedenis,1
Hematologie pati‰nt,1
Isolatiemaatregelen,1
Maligniteit,1
Niet-IC beleid ,1
Psychiatrie,1
gewicht-BMI,1
"pancreatitis, maagperforatie",1
persoonlijkheids problematiek/borderline,1
pijnstilling,1
st na pneumectomie,1
woede-uitbarsting,1
