factor,count
age,234
peep__maximum__last_24h,230
troponin_t__maximum__last_24h,206
o2_flow__mean__last_24h,188
c_reactive_protein__mean__last_24h,177
ureum__mean__last_24h,139
alkaline_phosphatase__mean__last_24h,126
creatinine__last__overall,126
glasgow_coma_scale_total__minimum__last_24h,112
alanine_transaminase__mean__last_24h,111
heart_rate__mean__last_24h,104
sodium__mean__last_24h,94
ureum_over_creatinine__mean__last_24h,78
activated_partial_thromboplastin_time__mean__last_24h,75
fluid_out_urine__total_value__last_24h,75
respiratory_rate_measured__last__overall,74
glasgow_coma_scale_total__maximum__last_24h,41
glucose__minimum__last_24h,23
arterial_blood_pressure_systolic__mean__last_24h,22
length_of_stay_hours,22
tracheobronchial_toilet_quantity__total_value__last_24h,21
potassium__mean__last_24h,18
richmond_agitation_sedation_scale_score__maximum__last_24h,17
base_excess__mean__last_24h,14
lactate_dehydrogenase__mean__last_24h,14
albumin__mean__last_24h,13
leukocytes__mean__last_24h,13
chloride__mean__last_24h,12
arterial_blood_pressure_mean__change_since_first__last_24h,11
thrombocytes__mean__last_24h,10
pco2_arterial__mean__last_24h,9
hemoglobin__mean__last_24h,8
magnesium__mean__last_24h,7
fio2__mean__last_24h,6
bilirubin_total__mean__last_24h,5
o2_saturation__change_since_first__last_24h,4
arterial_blood_pressure_diastolic__mean__last_24h,2
gamma_glutamyl_transferase__mean__last_24h,2
o2_flow__change_since_first__last_24h,2
ph_arterial__last__overall,2
pao2_over_fio2__last__overall,1
prothrombin_time_inr__mean__last_24h,1
temperature__minimum__last_24h,1
