factor,count
ureum_over_creatinine__mean__last_24h,112
albumin__mean__last_24h__padded,110
heart_rate__mean__last_24h__padded,105
arterial_blood_pressure_diastolic__mean__last_24h,95
o2_flow__mean__last_24h,94
respiratory_rate_measured__mean__last_24h__padded,80
ureum__mean__last_24h,63
age,59
pco2_arterial__mean__last_24h,50
time_since_start,48
fluid_out_urine__total_dose__last_24h,46
tracheobronchial_toilet_quantity__total_dose__last_24h,46
leukocytes__mean__last_24h__padded,43
ph_arterial__last__overall,43
c_reactive_protein__mean__last_24h,38
creatine_kinase_mb_mass__last__overall,36
thrombocytes__mean__last_24h,35
glasgow_coma_scale_total__maximum__last_24h,30
glucose__minimum__last_24h,23
tidal_volume_per_kg__mean__last_24h__padded,23
creatinine__last__overall,22
sodium__mean__last_24h,22
bilirubin_total__mean__last_24h,20
o2_saturation__mean__last_24h,18
hemoglobin__mean__last_24h__padded,16
glasgow_coma_scale_total__minimum__last_24h,15
arterial_blood_pressure_systolic__mean__last_24h,14
phosphate__mean__last_24h,14
temperature_skin__mean__last_24h,14
chloride__mean__last_24h,13
fio2__mean__last_24h,12
alanine_transaminase__mean__last_24h,7
lactate_dehydrogenase__mean__last_24h,6
body_mass_index__mean__last_24h,5
alkaline_phosphatase__mean__last_24h,4
gamma_glutamyl_transferase__mean__last_24h,4
prothrombin_time_inr__mean__last_24h__padded,4
lactate__last__overall,3
pao2_over_fio2__last__overall,3
pupil_diameter_max__mean__last_24h,3
aspartate_transaminase__mean__last_24h,1
cough_stimulus__mode__last_24h__cough_reflex_normal,1
