factor,count
reden van opname,33
algemene (ziekte) indruk,10
leeftijd,9
(verpleegkundige) zorgzwaarte,5
Pulmonaal belaste voorgeschiedenis,3
delier,3
eerdere heropname,3
(recidiverende) bloedingen,2
Frailty,2
nierfalen (bestaand of risico verslechtering),2
oxygenatie/PaO2,2
recidiverende infecties,2
verlaagd bewustzijn/lage EMV score,2
(recente) cardiale ischemie,1
Bloeddruk,1
COVID,1
Cardiaal belaste voorgeschiedenis,1
Hematologie pati‰nt,1
Isolatiemaatregelen,1
Maligniteit,1
Niet-IC beleid ,1
Psychiatrie,1
gewicht-BMI,1
"pancreatitis, maagperforatie",1
persoonlijkheids problematiek/borderline,1
pijnstilling,1
st na pneumectomie,1
woede-uitbarsting,1
